날짜,기사 제목,언론사,URL,발행 시각,Elon Musk 언급 여부,Dogecoin/Bitcoin 언급 여부,기사 요약(1~2줄)
2021-03-31,"머스크 '스페이스X, 진짜 도지코인을 진짜 달에 보낼 것' 트윗 예고",아시아경제,https://news.naver.com/main/read.nhn?oid=277&aid=0004521099,23:50,O,Dogecoin,만우절을 앞두고 일론 머스크가 스페이스X의 도지코인 달 탐사 계획을 트윗하며 시장의 기대를 자극함.
2021-04-01,머스크 만우절 트윗에 도지코인 또 급등…'농담인가 진담인가',매일경제,https://news.naver.com/main/read.nhn?oid=009&aid=0004521100,09:10,O,Dogecoin,머스크의 스페이스X 도지코인 발언이 만우절 아침 시장에 전해지며 도지코인 가격이 장중 30% 이상 폭등.
2021-04-02,비트코인 6만달러 안착 시도…머스크 입김에 알트코인도 들썩,한국경제,https://news.naver.com/main/read.nhn?oid=015&aid=0004521101,11:20,O,Bitcoin/Dogecoin,머스크의 트윗 여파가 가상화폐 시장 전반의 투자 심리를 개선하며 대장주 비트코인도 6만 달러 재진입을 시도.
2021-04-03,"머스크 ""스페이스X 도지코인 달에 가져갈 것""",한국경제,https://news.naver.com/main/read.nhn?oid=015&aid=0004521000,10:20,O,Dogecoin,머스크가 만우절 즈음 스페이스X가 도지코인을 달에 가져갈 것이라 트윗해 화제. 농담인지 진담인지 시장 관심 집중.
2021-04-04,도지코인 머스크 트윗 여파 지속…투자자들 '반신반의',이데일리,https://news.naver.com/main/read.nhn?oid=018&aid=0004521001,14:10,O,Dogecoin,주말 사이에도 머스크의 스페이스X 발언 여파가 이어지며 도지코인 거래량이 평소 대비 크게 증가함.
2021-04-05,비트코인 6만 달러 재도전 머스크 결제 지원 효과 이어지나,머니투데이,https://news.naver.com/main/read.nhn?oid=008&aid=0004521002,09:30,O,Bitcoin,테슬라의 비트코인 결제 도입 이후 기관 투자자들의 자금 유입이 지속되며 비트코인이 6만 달러 선을 다시 두드림.
2021-04-06,가상화폐 시장 뜨거운 감자 '도지코인' 머스크 한마디에 요동,조선비즈,https://news.naver.com/main/read.nhn?oid=366&aid=0004521003,11:45,O,Dogecoin,펀더멘털 없이 특정인의 트위터 발언만으로 급등락을 반복하는 밈 코인 시장에 대한 우려 섞인 분석 제기.
2021-04-07,"""비트코인은 화폐인가""…테슬라 머스크의 실험에 쏠린 눈",서울경제,https://news.naver.com/main/read.nhn?oid=011&aid=0004521004,15:00,O,Bitcoin,테슬라가 차량 결제에 비트코인을 도입한 지 한 달을 앞두고 실제 결제 활용도와 회계 처리 방식에 대한 시장의 관심 증가.
2021-04-08,머스크 침묵 속 비트코인 횡보세…방향성 탐색하는 코인 시장,헤럴드경제,https://news.naver.com/main/read.nhn?oid=016&aid=0004521005,08:20,O,Bitcoin,머스크 등 주요 인물들의 추가적인 발언이 나오지 않으면서 가상화폐 시장이 뚜렷한 방향성 없이 숨 고르기에 들어감.
2021-04-09,"머스크 ""가상화폐 미래 화폐될 것"" 과거 발언 재조명",파이낸셜뉴스,https://news.naver.com/main/read.nhn?oid=014&aid=0004521006,13:50,O,Bitcoin,비트코인 가격 방어선이 견고하게 유지되면서 머스크가 과거 팟캐스트 등에서 암호화폐의 미래를 긍정했던 발언들이 다시 화제.
